Participant name	Average gaze event duration	Number of fixations	Recording duration [ms]	Recording duration [sec]	Number of 30 sec during recording	Number of fixations per 30 sec	Number of 20 sec during recording	Number of fixations per 20 sec	Number of 10 sec during recording	Number of fixations per 10 sec	Number of 5 sec during recording	Number of fixations per 5 sec
kaupo78	207.7323838	1334	660695	660.695	22.02316667	274.6653146	33.03475	40.38171925	66.0695	20.19085963	132.139	10.09542981
Kelly 36	293.6455078	1024	439750	439.75	14.65833333	130.0284252	21.9875	46.57191586	43.975	23.28595793	87.95	11.64297897
KERLI 21	208.9757869	597	593313	593.313	19.7771	176.5678487	29.66565	20.12428516	59.3313	10.06214258	118.6626	5.03107129
kerli 32	227.2391653	623	257073	257.073	8.5691	199.4375139	12.85365	48.46872289	25.7073	24.23436145	51.4146	12.11718072
kerly13	269.75	188	119274	119.274	3.9758	131.042809	5.9637	31.52405386	11.9274	15.76202693	23.8548	7.881013465
KERSTI 34	203.9249012	1012	109327	109.327	3.644233333	656.9282977	5.46635	185.1326754	10.9327	92.56633768	21.8654	46.28316884
kert35	154.0762463	341	366012	366.012	12.2004	77.37451231	18.3006	18.63326885	36.6012	9.316634427	73.2024	4.658317214
Kertu 18	152.2885572	201	153617	153.617	5.120566667	198.4155399	7.68085	26.16897869	15.3617	13.08448935	30.7234	6.542244673
ˇkertu13	205.0431034	232	165795	165.795	5.5265	348.8645617	8.28975	27.98636871	16.5795	13.99318435	33.159	6.996592177
Kkatre28	233.9101307	612	274361	274.361	9.145366667	170.3594899	13.71805	44.61275473	27.4361	22.30637736	54.8722	11.15318868
Klaara8	353.3062182	2557	1200882	1200.882	40.0294	132.0529411	60.0441	42.58536642	120.0882	21.29268321	240.1764	10.64634161
klaus18	224.0695742	963	468284	468.284	15.60946667	210.0007688	23.4142	41.1288876	46.8284	20.5644438	93.6568	10.2822219
KRIS 28	290.735426	892	406872	406.872	13.5624	111.3372264	20.3436	43.84671346	40.6872	21.92335673	81.3744	10.96167837
kris10	293.187404	1302	597871	597.871	19.92903333	141.4017405	29.89355	43.55454605	59.7871	21.77727302	119.5742	10.88863651
kris23	258.2483419	1357	520981	520.981	17.36603333	130.484605	26.04905	52.0940303	52.0981	26.04701515	104.1962	13.02350758
kris43	301.3398198	2775	1534732	1534.732	51.15773333	90.50440077	76.7366	36.16266553	153.4732	18.08133277	306.9464	9.040666383
kris58	225.0640835	671	261033	261.033	8.7011	177.1040443	13.05165	51.41112426	26.1033	25.70556213	52.2066	12.85278107
KRISTA 29	203.2663001	2546	948048	948.048	31.6016	188.1550301	47.4024	53.71036066	94.8048	26.85518033	189.6096	13.42759016
krista 44	149.8829701	1239	784941	784.941	26.1647	316.9919777	39.24705	31.5692517	78.4941	15.78462585	156.9882	7.892312925
krista 49	254.202	1000	458339	458.339	15.27796667	121.3512269	22.91695	43.63582414	45.8339	21.81791207	91.6678	10.90895603
kristi 24	216.9236277	838	460115	460.115	15.33716667	223.444139	23.00575	36.42567619	46.0115	18.21283809	92.023	9.106419047
kristjan14	296.8292683	123	68333	68.333	2.277766667	150.5861004	3.41665	36.00017561	6.8333	18.00008781	13.6666	9.000043903
laara20	279.0700758	528	301966	301.966	10.06553333	164.4224847	15.0983	34.97082453	30.1966	17.48541226	60.3932	8.742706132
lars23	190.5858396	1596	541681	541.681	18.05603333	213.3358933	27.08405	58.92767145	54.1681	29.46383573	108.3362	14.73191786
laur23	253.2745098	255	104487	104.487	3.4829	117.7179936	5.22435	48.8098998	10.4487	24.4049499	20.8974	12.20247495
laur57	277.7357002	507	242171	242.171	8.072366667	191.3936846	12.10855	41.87123974	24.2171	20.93561987	48.4342	10.46780994
Laura 14	206.2254545	275	175656	175.656	5.8552	148.9274491	8.7828	31.31119916	17.5656	15.65559958	35.1312	7.82779979
LAURA 17	234.3902439	123	76839	76.839	2.5613	285.7923711	3.84195	32.01499239	7.6839	16.00749619	15.3678	8.003748097
Laura 18	199.2725322	466	156016	156.016	5.200533333	210.3630397	7.8008	59.73746282	15.6016	29.86873141	31.2032	14.93436571
LAURA 23	241.3211207	1392	540330	540.33	18.011	157.7924602	27.0165	51.52406862	54.033	25.76203431	108.066	12.88101716
laura24	139.6333333	300	134141	134.141	4.471366667	241.9841808	6.70705	44.72905376	13.4141	22.36452688	26.8282	11.18226344
laura27	244.4900911	1867	1065881	1065.881	35.52936667	145.063098	53.29405	35.0320533	106.5881	17.51602665	213.1762	8.758013324
laura37	348.6537967	777	396292	396.292	13.20973333	80.01675532	19.8146	39.21350923	39.6292	19.60675462	79.2584	9.803377308
lauri 20	232.4864865	333	117439	117.439	3.914633333	171.1526835	5.87195	56.71029215	11.7439	28.35514608	23.4878	14.17757304
lauri 39	338.0266204	1728	812075	812.075	27.06916667	94.31394883	40.60375	42.55764554	81.2075	21.27882277	162.415	10.63941138
lauri42	305.2709278	2425	669603.2849	669.6032849	22.3201095	200.6262559	33.48016425	72.43094694	66.96032849	36.21547347	133.920657	18.10773674
lauri43	285.0583501	1491	346927.6149	346.9276149	11.56425383	195.3433428	17.34638075	85.95452976	34.69276149	42.97726488	69.38552298	21.48863244
lea35	331.4553514	4625	1762305.468	1762.305468	58.7435156	122.8731363	88.1152734	52.48806276	176.2305468	26.24403138	352.4610936	13.12201569
lea46	236.1151776	929	329695	329.695	10.98983333	203.9157403	16.48475	56.35511609	32.9695	28.17755805	65.939	14.08877902
lea53	215.1169317	1069	421285	421.285	14.04283333	253.296462	21.06425	50.74949262	42.1285	25.37474631	84.257	12.68737316
lea67	241.0930018	2172	820812	820.812	27.3604	186.8028245	41.0406	52.92320288	82.0812	26.46160144	164.1624	13.23080072
leana20	294.6539075	627	363035	363.035	12.10116667	152.795185	18.15175	34.54212404	36.3035	17.27106202	72.607	8.635531009
leana46	273.7284946	372	175162	175.162	5.838733333	127.9387082	8.7581	42.47496603	17.5162	21.23748302	35.0324	10.61874151
leo35	318.3762755	1568	678719	678.719	22.62396667	91.4074897	33.93595	46.20468854	67.8719	23.10234427	135.7438	11.55117213
leo44	155.6945289	658	653618	653.618	21.78726667	158.6706608	32.6809	20.13408443	65.3618	10.06704222	130.7236	5.033521109
